0_names,0_logfoldchanges,0_pvals_adj,1_names,1_logfoldchanges,1_pvals_adj,2_names,2_logfoldchanges,2_pvals_adj,3_names,3_logfoldchanges,3_pvals_adj,4_names,4_logfoldchanges,4_pvals_adj,5_names,5_logfoldchanges,5_pvals_adj,6_names,6_logfoldchanges,6_pvals_adj,7_names,7_logfoldchanges,7_pvals_adj,8_names,8_logfoldchanges,8_pvals_adj,9_names,9_logfoldchanges,9_pvals_adj,10_names,10_logfoldchanges,10_pvals_adj,11_names,11_logfoldchanges,11_pvals_adj,12_names,12_logfoldchanges,12_pvals_adj,13_names,13_logfoldchanges,13_pvals_adj,14_names,14_logfoldchanges,14_pvals_adj,15_names,15_logfoldchanges,15_pvals_adj
HER_16128.t1:none,2.7933545,3.386194001938484e-215,HER_45860.t1:Sp-Btub3,3.630664,2.2521615975944322e-258,HER_29018.t1:Sp-MacpfD.3,2.8306925,1.98126032579826e-132,HER_21799.t1:Sp-Cara14LA,2.0430217,1.8191388412349117e-107,HER_45861.t1:Sp-Btub3,2.0881243,7.098849473586542e-92,HER_49716.t1:Sp-Rpl21,1.6665214,2.4916228445129553e-147,HER_134.t1:Sp-Nxn_1,6.072504,6.77732036693116e-144,HER_18134.t1:Sp-Hypp_53,3.8464208,1.0795775467944152e-101,HER_45860.t1:Sp-Btub3,1.9494848,1.1507419181580695e-29,HER_27773.t1:Sp-Unk_30,4.148118,1.3247738022118247e-83,HER_27773.t1:Sp-Unk_30,1.9475491,7.288946059093429e-32,HER_17538.t1:Sp-CalmL1,7.646681,4.4315084898429016e-52,HER_45097.t1:Sp-CebpaL,6.248726,1.0062073575217194e-25,HER_46925.t1:Sp-Mif4,4.9761314,2.007983135684027e-19,HER_42513.t1:Sp-Srcr177,6.886854,3.2130697338672953e-18,HER_37722.t1:Sp-Hypp_1457,5.829232,3.595688385736319e-05
HER_47969.t1:none,2.4451616,5.827817907579262e-195,HER_28.t1:Sp-FbsL_2,5.4449644,3.25048277867614e-234,HER_21799.t1:Sp-Cara14LA,1.839821,2.776466596664565e-105,HER_29018.t1:Sp-MacpfD.3,2.7748652,3.534218197915744e-100,HER_25852.t1:none,1.9886531,8.825139162444012e-84,HER_728.t1:Sp-Rpl6,1.3333617,1.4117227016204318e-139,HER_46925.t1:Sp-Mif4,7.6884465,6.77732036693116e-144,HER_49743.t1:Sp-CycI,1.9464175,2.485545971632864e-84,HER_28.t1:Sp-FbsL_2,2.1865904,2.9013440893524376e-24,HER_34053.t1_HER_34055.t1:none,4.4148703,2.164998841102264e-72,HER_14967.t1:Sp-Nhp2l1,2.1179402,3.2842178430271226e-23,HER_45795.t1:Sp-Secrtag,7.7383037,5.534605143292454e-51,HER_29584.t1:Sp-Hypp_1984,5.037088,5.0860311774769733e-14,HER_134.t1:Sp-Nxn_1,4.1396313,2.007983135684027e-19,HER_45847.t1:Sp-Astacin4,8.16526,2.099861349749012e-17,HER_45847.t1:Sp-Astacin4,5.399904,3.595688385736319e-05
HER_7595.t1:Sp-Apob,2.1331031,2.2215378326350997e-190,HER_29171.t1:none,5.7622085,7.054382123472043e-193,HER_29000.t1:Sp-MacpfD.3,2.201933,4.395454229145739e-101,HER_8002.t1:Sp-Slsp_1,2.449309,4.703534418584949e-99,HER_17590.t1:Sp-Unk_85,1.8364083,2.4185036663176364e-81,HER_22572.t1:Sp-Rpl11,1.4747399,2.878912525068445e-138,HER_21637.t1:Sp-Aldh2,3.9311357,1.8038701958361043e-139,HER_24381.t1:Sp-HH2az,1.4004295,5.72507993745414e-72,HER_16505.t1:Sp-Tektin3,1.505451,4.265009655844998e-20,HER_38632.t3:Sp-Tnrc4,5.1998467,1.5970400362300217e-68,HER_45321.t1:Sp-Eif2beta,1.7199409,5.0588152263300043e-20,HER_34053.t1_HER_34055.t1:none,5.2105026,2.550247319052076e-50,HER_6739.t1:Sp-Jun,3.8076694,5.2344676750632086e-11,HER_7886.t1:Sp-Hypp_1597,4.280129,1.622567319867772e-18,HER_37722.t1:Sp-Hypp_1457,7.2826734,3.7887437251496586e-16,HER_42513.t1:Sp-Srcr177,5.080197,3.636219802147997e-05
HER_49824.t1:Sp-Ars,2.371336,3.208505246312405e-156,HER_30721.t1:Sp-Cycs_2,1.4002601,8.568588467626993e-172,HER_3741.t1:Sp-Anxn,1.7614195,7.094637696715774e-88,HER_3741.t1:Sp-Anxn,1.9551963,2.5735407147306336e-91,HER_45860.t1:Sp-Btub3,2.2012327,1.3843697010086444e-77,HER_11034.t1:Sp-Rps17,1.3126075,1.3068032178761033e-134,HER_7886.t1:Sp-Hypp_1597,8.020153,9.041189879869843e-138,HER_17969.t1:Sp-Odadc1L,3.3575597,9.997002080435448e-60,HER_45861.t1:Sp-Btub3,1.2134881,2.1177990492651478e-16,HER_11251.t1:Sp-Rkhd,3.6256504,8.11963378670042e-66,HER_27968.t1:Sp-Msy,0.99158746,7.928753222221861e-20,HER_38035.t1:Sp-Gi,2.6077716,1.1825599347080595e-43,HER_47976.t1:none,2.3952844,2.9067647293348542e-08,HER_47882.t1:Sp-CalmL1,3.5587277,1.1826995056532975e-16,HER_48026.t1:Sp-6Afcol,7.398757,3.1073839722006416e-15,HER_7595.t1:Sp-Apob,2.4363756,0.005149835914982681
HER_9762.t1_HER_9764.t1:Sp-AnL4,2.22576,1.1338306373969745e-155,HER_19128.t2:Sp-CalmL1,1.959773,6.089109999657505e-138,HER_23469.t1:Sp-Sdc,1.2244165,2.3071007848436377e-72,HER_32297.t1:Sp-Ephrin,2.7305787,1.3346244241491087e-82,HER_39408.t1:Sp-Hypp_1863,2.2495143,3.8647394765767415e-68,HER_23152.t1:Sp-Lrp2,1.4259788,1.657426838897955e-129,HER_12253.t1:Sp-FerHc,1.614659,8.811673408852202e-133,HER_18133.t1:Sp-Hypp_53,3.0992725,1.354215036001974e-58,HER_35876.t1:Sp-Atub13,1.1305319,6.34207772008789e-16,HER_6385.t1:none,5.127476,3.8859847797219987e-64,HER_19841.t1:Sp-Dkc1,2.5404377,1.134897832082673e-16,HER_38632.t3:Sp-Tnrc4,4.6361475,9.836564971734378e-43,HER_20839.t1:Sp-Abcc5D,2.091244,1.5844526677158653e-07,HER_4864.t1_HER_4874.t1:Sp-Agpat5,2.4567034,7.280147642521743e-16,HER_7690.t1:none,7.8983207,3.05547217812649e-14,HER_47882.t1:Sp-CalmL1,2.8908498,0.00786523717940001
HER_17415.t1:Sp-Ckb,1.563637,9.168132726993602e-114,HER_19127.t1:Sp-CalmL2,2.2720072,1.1909725198770035e-133,HER_17967.t1:Sp-Map1a/1B_Lc3L2,1.1558495,6.164197560072103e-62,HER_23469.t1:Sp-Sdc,1.3974534,1.2430188492152706e-81,HER_35876.t1:Sp-Atub13,1.6263603,7.128770185404181e-68,HER_30087.t1:Sp-Rpl37a,1.1087279,5.6873495918947764e-126,HER_6994.t1:Sp-TxnL3,3.2391133,7.288243892542132e-132,HER_23620.t1:Sp-Cdk1,3.1557055,4.4794433096258394e-46,HER_29171.t1:none,1.6716988,1.591205125154053e-13,HER_3624.t1:Sp-SoxC,4.6083183,1.409861189305662e-62,HER_49716.t1:Sp-Rpl21,0.86931384,1.134897832082673e-16,HER_1313.t1:Sp-14-3-3e,1.472101,9.836564971734378e-43,HER_17148.t1:Sp-GlxnL,6.41529,4.178224124604004e-07,HER_46284.t1:Sp-Cara2LB_1,3.304439,2.0279889295052125e-15,HER_40156.t1:Sp-185/333D1,7.572637,4.580318204080513e-14,HER_134.t1:Sp-Nxn_1,2.6532607,0.010432448120234089
HER_10974.t1:Sp-Hbn,3.400166,7.85819037565332e-100,HER_24381.t1:Sp-HH2az,1.2882674,2.0675041190729713e-131,HER_20104.t1:Sp-Tppp3,1.4338571,1.1409925113933158e-53,HER_49824.t1:Sp-Ars,2.1356673,7.851682326369983e-72,HER_8625.t1:none,2.2801743,2.0819182613492783e-65,HER_25966.t1:Sp-Rpl36a,1.6835074,1.0563104859714039e-125,HER_47882.t1:Sp-CalmL1,5.0472784,2.0797111699614963e-131,HER_49454.t1:Sp-Hmmr,3.3260796,2.737471360751289e-45,HER_25852.t1:none,1.0269775,9.44390805401395e-12,HER_13245.t1_HER_13243.t1:Sp-B4galt6_3,4.8603253,1.343163911254997e-61,HER_21634.t1:Sp-Larp7,2.107598,1.3518271276292583e-15,HER_21859.t1:Sp-14-3-3_1,1.5716723,2.1176827821204066e-35,HER_11251.t1:Sp-Rkhd,1.9892746,4.949129751765931e-06,HER_21637.t1:Sp-Aldh2,2.5710347,2.0279889295052125e-15,HER_47882.t1:Sp-CalmL1,4.095412,4.917438429891187e-14,HER_9898.t1:Sp-Bhmt_1,3.6254025,0.010568778370702482
HER_7898.t1:Sp-Pdcd4,1.2245655,6.06848341448291e-98,HER_35876.t1:Sp-Atub13,1.7751198,6.85981627981461e-118,HER_20850.t1:Sp-Egfi,1.8445061,7.9017547153074e-50,HER_40059.t1:Sp-Hox7,4.6623015,5.338518985808936e-59,HER_29159.t1:Sp-Btub1,1.2015852,2.255471575417132e-65,HER_14967.t1:Sp-Nhp2l1,3.1981332,9.373347542535917e-125,HER_6983.t1_HER_6984.t1:Sp-St8sia_2,4.612001,2.7539885602068895e-129,HER_19126.t1:Sp-CalmL1,0.7588697,7.791808467908925e-36,HER_35862.t1:Sp-Atub13,1.1072339,9.80999115884485e-12,HER_24667.t1:Sp-Pdpi(cyclophilin)L7,1.8221892,7.739644018436771e-54,HER_48850.t1:Sp-Eif5B,2.1135955,1.8570491192887916e-15,HER_30285.t1:Sp-P35L,6.26537,2.874264953218057e-35,HER_46641.t1:Sp-Set,1.8904338,6.91198184517722e-06,HER_12207.t1:Sp-Nme1,3.443765,4.193938108437604e-15,HER_34053.t1_HER_34055.t1:none,4.1132994,1.5756300258253138e-10,HER_34053.t1_HER_34055.t1:none,2.8976908,0.013679137877287932
HER_23469.t1:Sp-Sdc,1.1890485,1.7871220679203465e-91,HER_45861.t1:Sp-Btub3,1.8388114,1.2400366229075755e-109,HER_5235.t1:Sp-Otof,1.207566,1.864327229101341e-45,HER_23964.t1:Sp-Gsn,1.9086593,7.796252910905311e-56,HER_40285.t1:Sp-Iqca1,1.6521614,3.8448588652101545e-65,HER_49418.t1:Sp-Rps3A,1.6391597,6.388179119322173e-124,HER_4864.t1_HER_4874.t1:Sp-Agpat5,3.3804154,1.6101090510102358e-126,HER_29159.t1:Sp-Btub1,1.067054,1.3724483833575746e-32,HER_19127.t1:Sp-CalmL2,1.062386,1.2580271515675275e-11,HER_23152.t1:Sp-Lrp2,1.3539822,1.5612522760890274e-52,HER_24667.t1:Sp-Pdpi(cyclophilin)L7,0.99816066,1.9492725903002463e-13,HER_10174.t1:Sp-Syt4,7.9581966,3.5116176431975845e-34,HER_45918.t1_HER_45913.t1:none,3.38213,1.1701427208609517e-05,HER_47602.t1:Sp-Fmo2_2,3.6977277,4.728602390399626e-15,HER_6994.t1:Sp-TxnL3,2.5178914,2.412633308256574e-10,HER_40156.t1:Sp-185/333D1,4.8851004,0.022185687123090124
HER_17866.t1:Sp-Six3,2.6324768,6.600019331797254e-91,HER_35862.t1:Sp-Atub13,1.9545645,1.0296410760779765e-102,HER_49824.t1:Sp-Ars,1.6768191,3.979064664772684e-39,HER_29000.t1:Sp-MacpfD.3,1.7903906,3.9001528455313396e-55,HER_38953.t1:none,1.8000582,1.2261320494858244e-64,HER_1104.t1:Sp-Arp,1.2924051,5.659939262114999e-122,HER_47602.t1:Sp-Fmo2_2,7.344902,1.2096880073229198e-121,HER_12997.t1:Sp-Asphm2,3.6397853,3.706917613724944e-31,HER_26570.t1:none,1.1931251,7.404924374581047e-11,HER_39411.t1:Sp-Smadip,6.1792536,6.91903182711522e-50,HER_4286.t1:Sp-Tgif,2.8054407,3.122218401569476e-13,HER_35857.t1:Sp-Atub3,6.9070888,1.0329959989684801e-32,HER_10051.t1:Sp-Polyq,1.1692797,6.578620442243659e-05,HER_19785.t1:none,2.761846,5.363474514312083e-15,HER_45489.t1:Sp-Cycpln,5.920933,9.173849797403052e-10,HER_7690.t1:none,5.2670345,0.1096201189127526
