,code
0,HER_1.t1:none
1,HER_10.t1:Sp-PolppL_39
2,HER_1000.t1:none
3,HER_10000.t1:Sp-Ggt1
4,HER_10001.t1:Sp-Ggt1_2
5,HER_10002.t1:none
6,HER_10003.t1.1.5f2c6ce6:Sp-Ggt1
7,HER_10003.t1:Sp-Ggt1
8,HER_10004.t1:Sp-Drd2
9,HER_10005.t1:Sp-Drd2
10,HER_10006.t1_HER_10010.t1:Sp-Map1aph
11,HER_10007.t1:Sp-Map1aph
12,HER_10008.t1:Sp-Map1aph
13,HER_10009.t1:Sp-Map1aph
14,HER_1001.t1:Sp-Hypp_1264
15,HER_10011.t1:Sp-Hypp_591
16,HER_10012.t1:none
17,HER_10013.t1:Sp-Hypp_591
18,HER_10014.t1:Sp-Hypp_591
19,HER_10016.t1:Sp-Hypp_2420
20,HER_10017.t1:Sp-Uba6
21,HER_10017.t2:Sp-Uba6
22,HER_10019.t1:Sp-Aqp_3
23,HER_1002.t1:none
24,HER_10020.t1:none
25,HER_10021.t1:Sp-Aqp_3
26,HER_10022.t1.1.5f2c6ce7:Sp-Neto2L
27,HER_10022.t1:Sp-Neto2L
28,HER_10023.t1:Sp-Hypp_589
29,HER_10024.t1:Sp-Slco4a
30,HER_10025.t1:Sp-Hypp_1459
31,HER_10027.t1:Sp-Endrvt35
32,HER_10029.t1:none
33,HER_1003.t1:Sp-Hypp_1263
34,HER_10030.t1:Sp-Tnpo1_2
35,HER_10031.t1:Sp-Tnpo1_2
36,HER_10032.t1:none
37,HER_10035.t1:none
38,HER_10036.t1:none
39,HER_10037.t1:Sp-Srcr204
40,HER_10038.t1:Sp-Htr1aL_7
41,HER_10039.t1:Sp-Ankle1
42,HER_1004.t1:Sp-Hypp_1001
43,HER_10040.t1:Sp-Gtpbp3
44,HER_10041.t1:Sp-PppL_132
45,HER_10043.t1:Sp-PppL_132
46,HER_10044.t1:Sp-Hypp474
47,HER_10045.t1:Sp-Hypp474
48,HER_10047.t1:Sp-Ptar1
49,HER_10048.t1:Sp-Hypp_2497
50,HER_10049.t1:Sp-Wdr40a
51,HER_1005.t1:none
52,HER_10050.t1:Sp-ActL
53,HER_10051.t1:Sp-Polyq
54,HER_10052.t1:Sp-FibA
55,HER_10054.t1:Sp-FibA
56,HER_10057.t1:Sp-GnRHLr
57,HER_10058.t1:Sp-Thap2
58,HER_10059.t1:Sp-Tatdn2L
59,HER_1006.t1:Sp-Hypp_346
60,HER_10060.t1:Sp-Z105
